Light;Co2;TDS;TEMP;HUM;WaterTemp;pH;CropType;Method;yield_per_sqm
15983,2;639,7;1170,3;26,1;60,15;22,14;6,3;Bok Choy;AQUAPONIC;4,9
11442,5;898,6;1430,5;23,7;56,76;19,96;5,37;Chinese Cabbage;AQUAPONIC;3,9
16169,5;763,7;1524,5;26,13;77,86;21,72;6,61;Bok Choy;HYDROPONIC;4,764
12185,6;873,5;1359,9;25,32;77,8;22,51;6,01;Spinach;HYDROPONIC;4,548
19211,1;900,6;1270,4;20,6;74,44;16,29;5,79;Spinach;HYDROPONIC;4,677
14851,9;778,3;1286,0;25,3;65,16;21,23;6,25;Spinach;AEROPONIC;5,083
13032,0;648,5;1089,8;25,37;62,34;20,51;5,83;Spinach;AQUAPONIC;4,218
10576,3;870,4;1305,2;28,38;55,3;23,85;6,4;Chinese Cabbage;SOIL_BASED;3,082
15857,6;421,8;897,7;24,65;75,77;20,0;6,22;Lettuce;SOIL_BASED;4,158
16076,3;957,0;1249,2;20,04;75,38;16,88;6,32;Kale;AQUAPONIC;5,554
13229,5;459,2;1721,8;21,95;72,19;16,38;5,73;Spinach;SOIL_BASED;3,208
14602,9;598,8;1165,9;18,31;58,58;13,81;6,52;Bok Choy;AEROPONIC;5,132
15488,8;722,9;1571,5;24,93;65,14;21,9;6,67;Spinach;AEROPONIC;4,878
16744,0;611,3;1454,4;28,13;66,98;24,96;5,84;Bok Choy;HYDROPONIC;5,131
11005,9;513,8;1653,8;16,8;52,98;12,61;5,82;Bok Choy;HYDROPONIC;4,732
12887,9;794,9;466,8;28,25;80,15;24,46;5,3;Spinach;HYDROPONIC;4,4
16638,5;710,6;1326,0;24,89;56,51;19,49;5,42;Chinese Cabbage;HYDROPONIC;4,454
14129,3;705,7;1432,9;20,49;61,37;15,8;6,3;Bok Choy;HYDROPONIC;4,862
7932,0;745,9;1487,6;24,22;52,94;20,15;5,8;Bok Choy;SOIL_BASED;4,007
20072,7;583,5;1592,3;20,58;66,27;17,02;6,45;Spinach;SOIL_BASED;3,298
17462,6;878,2;1461,1;24,73;65,89;21,18;6,49;Bok Choy;HYDROPONIC;4,925
8378,7;648,6;1341,5;23,68;76,33;20,01;5,95;Bok Choy;AEROPONIC;4,987
12201,6;848,6;1030,7;24,42;59,95;20,79;6,52;Spinach;SOIL_BASED;3,113
20004,2;754,3;785,2;20,93;58,77;17,76;6,26;Spinach;AEROPONIC;4,727
16094,6;754,8;1628,2;21,33;68,68;17,5;6,49;Kale;AEROPONIC;6,15
9451,9;722,0;1122,1;24,91;50,36;19,39;5,32;Chinese Cabbage;AQUAPONIC;3,723
7644,8;906,3;1188,9;22,09;79,32;18,04;6,04;Chinese Cabbage;AQUAPONIC;3,701
8330,8;943,0;1515,4;23,92;56,77;20,14;6,49;Bok Choy;HYDROPONIC;5,158
12783,0;929,5;1275,0;24,77;83,44;20,73;5,58;Chinese Cabbage;AEROPONIC;4,338
16841,0;747,9;979,1;22,88;61,27;18,9;6,42;Bok Choy;SOIL_BASED;3,507
9128,2;782,4;836,1;26,73;55,87;22,3;6,21;Kale;AQUAPONIC;5,396
16494,2;666,3;1186,8;22,98;72,96;18,06;6,51;Spinach;AQUAPONIC;4,348
11425,2;706,2;1304,9;22,9;72,47;19,26;6,02;Spinach;AEROPONIC;4,79
7997,2;604,6;1487,0;21,73;72,67;17,96;6,22;Spinach;AQUAPONIC;4,399
13281,6;693,7;1247,5;26,41;68,86;23,09;5,48;Chinese Cabbage;AQUAPONIC;4,026
21407,9;822,9;1285,2;21,52;87,04;16,49;6,4;Kale;SOIL_BASED;4,104
19202,3;766,3;936,8;27,01;56,53;21,4;6,22;Chinese Cabbage;AEROPONIC;4,495
12753,3;700,8;1550,7;23,96;79,57;19,82;5,76;Chinese Cabbage;AQUAPONIC;3,873
15225,5;915,6;2063,4;31,01;54,32;26,29;5,77;Kale;AEROPONIC;5,967
12463,5;639,4;1618,3;21,65;82,04;17,27;5,31;Kale;AQUAPONIC;5,645
7608,0;783,6;1594,8;27,07;71,0;23,4;6,0;Kale;SOIL_BASED;4,449
12368,4;1125,7;1369,7;24,93;81,25;21,09;6,35;Kale;AEROPONIC;6,246
16734,9;998,7;1008,3;22,06;75,58;17,75;5,91;Spinach;AQUAPONIC;4,213
10381,3;703,2;1055,9;24,97;49,52;20,16;6,33;Lettuce;SOIL_BASED;3,675
18248,0;956,8;1451,2;24,83;65,13;21,07;5,64;Lettuce;AQUAPONIC;4,867
18400,1;688,3;1511,6;22,57;57,35;16,78;6,12;Kale;AEROPONIC;5,939
12921,4;842,8;1035,8;24,7;80,7;21,15;6,11;Lettuce;AQUAPONIC;5,298
14888,8;1037,5;1398,2;26,76;74,81;22,8;6,33;Lettuce;AEROPONIC;5,896
19056,8;734,8;1309,4;24,93;69,29;20,37;6,59;Kale;AEROPONIC;6,225
15770,6;894,0;1408,7;22,33;64,49;19,25;6,06;Lettuce;AQUAPONIC;5,163
19607,0;757,2;1373,0;22,17;71,6;18,56;5,95;Chinese Cabbage;SOIL_BASED;3,238
8359,5;698,5;1386,4;23,26;59,86;19,34;5,87;Bok Choy;HYDROPONIC;4,931
12463,8;875,2;774,2;26,61;70,39;22,21;6,37;Bok Choy;SOIL_BASED;3,697
13352,9;857,0;1754,2;21,39;66,95;15,72;6,65;Kale;SOIL_BASED;4,477
18852,9;587,4;1648,0;24,6;61,06;20,32;5,94;Spinach;AQUAPONIC;4,379
14503,1;734,6;1276,1;19,13;73,91;15,13;5,91;Kale;SOIL_BASED;4,233
11917,1;609,9;973,2;25,16;84,03;20,67;6,12;Spinach;SOIL_BASED;3,263
14111,0;537,9;1426,4;25,6;55,86;21,01;6,12;Bok Choy;HYDROPONIC;4,909
16319,9;755,9;899,9;29,18;76,03;25,15;5,77;Kale;SOIL_BASED;4,027
13395,7;828,4;1716,0;26,09;61,14;21,43;7,05;Chinese Cabbage;HYDROPONIC;4,124
17433,5;921,7;1238,0;22,38;72,96;17,98;5,61;Lettuce;AQUAPONIC;5,004
14907,5;556,6;1124,9;19,2;62,75;15,39;5,53;Spinach;HYDROPONIC;4,547
13442,5;614,1;1431,7;24,94;65,45;20,97;5,54;Lettuce;AEROPONIC;5,58
18626,6;992,1;1157,9;22,58;66,29;17,87;6,09;Lettuce;AEROPONIC;5,751
19535,6;670,0;1207,2;24,44;79,57;19,51;6,17;Kale;HYDROPONIC;5,915
18589,8;572,7;1073,7;21,48;67,22;18,08;5,7;Lettuce;AEROPONIC;5,814
11677,6;1027,4;1442,5;23,02;65,12;18,2;6,84;Chinese Cabbage;AQUAPONIC;3,861
18670,2;760,4;1360,0;18,74;67,3;14,11;5,91;Lettuce;AEROPONIC;6,003
18005,6;712,1;1553,1;20,57;84,12;16,85;5,16;Kale;HYDROPONIC;6,009
10492,6;679,0;857,5;20,18;72,76;14,79;6,04;Chinese Cabbage;AQUAPONIC;3,853
13328,1;640,9;963,5;25,94;62,81;20,69;6,45;Bok Choy;AEROPONIC;5,217
18855,9;760,0;1145,4;21,18;80,73;17,25;5,4;Lettuce;AQUAPONIC;5,181
17843,9;829,0;1568,9;27,36;69,53;23,58;6,42;Kale;HYDROPONIC;5,971
12662,0;843,5;909,5;21,21;60,67;17,26;5,88;Bok Choy;AEROPONIC;5,218
10692,4;519,2;1059,1;29,37;71,35;25,15;6,32;Bok Choy;AQUAPONIC;4,402
19049,9;1000,3;1649,3;18,04;66,72;15,05;6,54;Spinach;AQUAPONIC;4,202
16468,9;755,9;1417,7;24,69;40,0;21,08;6,65;Chinese Cabbage;AEROPONIC;3,856
14626,7;831,5;1560,9;23,61;70,81;19,31;5,48;Lettuce;AQUAPONIC;5,291
11693,7;892,2;1256,3;20,11;58,86;15,06;6,68;Kale;AQUAPONIC;5,533
17019,3;726,5;1739,8;21,96;57,18;18,43;6,49;Spinach;HYDROPONIC;4,826
10874,6;851,5;902,7;22,77;51,48;19,52;5,62;Chinese Cabbage;HYDROPONIC;3,959
11334,9;800,0;1224,3;24,2;69,09;19,95;5,4;Spinach;HYDROPONIC;4,981
15906,0;738,7;1202,9;20,88;66,75;17,28;5,82;Chinese Cabbage;HYDROPONIC;4,619
17963,3;792,8;1206,1;24,69;76,07;20,1;6,94;Chinese Cabbage;HYDROPONIC;4,461
14998,8;699,1;953,6;23,84;61,22;19,74;6,22;Lettuce;HYDROPONIC;5,62
13231,7;660,2;1424,2;25,68;63,91;22,2;5,78;Chinese Cabbage;AEROPONIC;4,509
17604,1;800,8;961,6;21,09;84,83;16,85;6,17;Spinach;HYDROPONIC;4,472
10456,8;803,0;933,6;22,35;51,21;17,11;6,68;Chinese Cabbage;AQUAPONIC;3,871
11172,6;818,2;605,8;27,54;78,34;24,18;6,11;Lettuce;AEROPONIC;5,668
18303,1;987,0;1087,0;20,96;61,37;16,6;5,86;Lettuce;AQUAPONIC;5,283
10363,1;824,6;1318,1;19,6;94,48;15,89;6,01;Spinach;HYDROPONIC;4,738
8255,8;728,2;1355,0;21,73;74,14;17,82;5,66;Bok Choy;HYDROPONIC;5,003
11044,5;810,8;1221,8;18,53;62,66;14,72;5,83;Bok Choy;AQUAPONIC;4,549
18306,5;1106,8;1105,9;28,18;56,15;25,04;5,95;Chinese Cabbage;AQUAPONIC;3,852
17627,0;618,9;1174,6;22,71;71,48;17,59;6,14;Kale;AQUAPONIC;5,841
9377,5;1029,3;1104,6;22,74;51,77;17,8;5,89;Chinese Cabbage;SOIL_BASED;3,02
11629,1;840,7;1814,0;25,58;73,85;22,8;5,65;Spinach;SOIL_BASED;3,068
9291,9;791,5;960,6;21,47;56,15;17,65;6,2;Spinach;SOIL_BASED;3,317
16727,9;738,7;1078,4;22,9;59,76;18,91;6,11;Spinach;SOIL_BASED;3,595
10218,9;720,1;1279,9;21,39;44,18;16,13;5,43;Spinach;AEROPONIC;4,358
16077,7;534,6;995,0;18,59;69,11;15,71;5,59;Spinach;HYDROPONIC;4,648
13776,4;804,5;1292,0;23,64;70,37;19,1;6,11;Lettuce;AQUAPONIC;4,932
14828,5;909,0;854,1;26,37;68,24;22,98;6,72;Bok Choy;HYDROPONIC;4,958
8628,2;758,9;1312,2;23,72;53,36;18,76;5,63;Spinach;AQUAPONIC;4,599
17623,5;715,5;1164,5;26,08;80,19;21,61;5,19;Kale;HYDROPONIC;5,659
19912,7;671,8;1086,2;20,43;66,62;16,94;6,1;Kale;AEROPONIC;6,251
19681,1;790,5;1204,1;21,39;63,56;17,53;6,85;Kale;SOIL_BASED;4,575
14724,3;863,7;1139,4;19,88;74,83;15,69;5,78;Kale;HYDROPONIC;6,249
7329,1;928,9;1175,3;24,53;64,26;21,47;6,03;Lettuce;AQUAPONIC;5,489
13231,7;507,9;1479,3;22,61;71,75;17,59;6,55;Kale;HYDROPONIC;6,047
15439,6;711,2;1747,7;22,51;61,37;19,07;6,92;Spinach;AEROPONIC;5,04
14969,7;885,0;576,8;25,37;74,94;21,2;5,32;Chinese Cabbage;AEROPONIC;4,56
9090,8;609,3;1219,6;22,18;74,72;18,39;6,09;Kale;HYDROPONIC;6,034
16989,5;753,8;946,5;26,52;64,15;23,05;6,28;Lettuce;SOIL_BASED;3,848
17198,8;890,0;1191,3;24,16;69,29;20,35;5,64;Lettuce;AQUAPONIC;5,319
17207,9;767,0;1384,7;22,47;67,79;17,74;6,37;Kale;AEROPONIC;6,516
11990,3;789,4;1900,7;19,16;66,94;15,72;6,9;Chinese Cabbage;AEROPONIC;4,139
9428,4;613,6;1196,2;25,36;57,9;21,57;6,22;Kale;HYDROPONIC;6,009
12789,2;702,0;1313,8;24,29;59,1;18,79;6,15;Lettuce;AEROPONIC;5,736
18626,7;822,9;1042,4;24,43;64,73;20,86;5,51;Bok Choy;AEROPONIC;5,222
11110,9;892,1;1028,8;24,52;68,59;20,27;5,62;Spinach;AQUAPONIC;4,257
11461,4;727,5;1016,4;22,02;60,49;17,29;6,44;Lettuce;SOIL_BASED;4,156
10787,4;950,8;1093,4;23,08;68,12;18,8;6,61;Kale;AQUAPONIC;5,662
13029,8;783,6;1156,6;22,22;48,54;19,55;6,04;Spinach;SOIL_BASED;3,207
15952,2;778,5;1649,6;27,0;68,02;22,5;5,54;Kale;AQUAPONIC;5,361
16870,1;984,6;1190,0;22,73;68,66;19,16;6,18;Kale;HYDROPONIC;5,931
10083,2;480,9;1424,3;21,77;74,96;17,24;6,36;Bok Choy;AEROPONIC;5,418
18042,0;423,0;1356,5;27,19;80,09;23,12;5,74;Spinach;SOIL_BASED;3,66
18534,9;907,8;1527,6;26,89;73,82;22,94;5,53;Spinach;HYDROPONIC;4,38
13499,9;740,7;785,5;24,16;83,28;18,27;6,2;Bok Choy;AEROPONIC;5,091
9646,8;846,5;1369,2;23,14;67,75;19,14;5,92;Lettuce;AEROPONIC;5,836
18898,8;782,9;1339,7;22,44;68,39;18,37;6,24;Kale;AEROPONIC;6,141
15812,8;848,4;1254,0;23,38;74,86;18,94;6,18;Chinese Cabbage;AQUAPONIC;4,143
21163,1;879,8;1559,8;21,05;67,09;17,9;6,52;Kale;HYDROPONIC;5,963
9462,7;932,8;1248,6;24,85;65,19;20,87;6,28;Kale;HYDROPONIC;6,253
15519,2;842,1;1508,5;28,13;79,68;23,92;5,71;Lettuce;AEROPONIC;5,762
19636,7;946,1;1324,2;25,08;74,15;20,7;6,13;Kale;SOIL_BASED;4,245
16127,6;703,7;1344,3;20,41;73,61;16,55;5,95;Bok Choy;HYDROPONIC;4,947
6852,3;842,9;1362,2;24,77;60,65;21,53;6,05;Bok Choy;AQUAPONIC;4,435
7191,4;576,6;1228,2;24,04;76,02;19,36;6,74;Spinach;SOIL_BASED;3,76
20791,3;680,4;1686,6;24,75;68,7;19,8;5,96;Chinese Cabbage;SOIL_BASED;3,226
12345,7;881,1;1559,7;21,21;59,59;17,65;5,94;Kale;SOIL_BASED;4,514
16170,7;892,5;1264,5;23,51;73,92;18,38;5,99;Kale;SOIL_BASED;4,176
9949,0;753,4;1324,5;25,97;57,81;21,84;5,69;Lettuce;HYDROPONIC;5,504
12508,6;953,3;1405,1;20,5;47,53;17,06;5,89;Bok Choy;AEROPONIC;4,875
17839,2;541,7;1490,6;22,24;52,66;18,07;5,76;Chinese Cabbage;SOIL_BASED;2,898
15489,1;927,6;1699,3;22,69;65,89;19,49;6,01;Spinach;AQUAPONIC;4,304
12924,7;754,1;1515,8;26,3;81,1;21,61;6,0;Bok Choy;AQUAPONIC;4,468
17294,4;507,4;1234,6;26,71;70,66;22,27;5,1;Spinach;AEROPONIC;4,73
14304,1;633,1;1067,4;18,14;67,13;14,79;6,43;Lettuce;HYDROPONIC;5,539
18004,4;710,3;1538,0;26,29;79,21;23,07;6,44;Lettuce;AEROPONIC;5,885
12996,5;629,0;1355,1;26,8;72,34;24,35;5,85;Kale;SOIL_BASED;4,544
15531,0;636,4;1024,5;26,62;76,7;22,74;6,22;Chinese Cabbage;HYDROPONIC;4,184
21496,4;855,1;1501,9;22,02;76,26;18,29;6,02;Spinach;HYDROPONIC;4,742
15052,1;698,2;1674,3;22,86;65,33;18,89;6,53;Bok Choy;SOIL_BASED;3,443
16925,7;460,6;1281,8;19,11;66,03;15,47;6,58;Lettuce;AQUAPONIC;4,858
8384,8;821,5;1687,3;17,63;60,92;12,61;7,12;Kale;SOIL_BASED;4,178
15013,4;688,9;1479,2;22,49;75,06;18,86;5,93;Kale;AEROPONIC;6,102
15216,7;977,6;978,8;23,71;57,57;18,5;5,84;Spinach;SOIL_BASED;3,069
10258,1;670,5;1389,9;23,99;60,47;20,19;6,34;Lettuce;AQUAPONIC;5,256
13552,4;527,2;819,5;25,8;67,4;22,17;5,6;Chinese Cabbage;SOIL_BASED;3,085
13484,1;742,2;1372,0;32,07;68,93;28,22;6,42;Lettuce;AEROPONIC;5,582
10614,0;624,1;1013,6;22,39;72,99;18,48;6,5;Spinach;AEROPONIC;5,007
12722,8;636,9;1330,0;20,54;67,65;14,57;6,5;Spinach;AQUAPONIC;4,72
21895,2;734,4;1456,2;25,03;64,91;22,22;5,58;Lettuce;AEROPONIC;5,876
14578,0;756,5;1127,1;24,12;74,15;18,95;6,0;Spinach;AEROPONIC;4,903
15593,1;734,2;1719,5;21,89;75,77;17,34;6,21;Lettuce;SOIL_BASED;4,009
21099,8;747,3;1040,4;26,05;53,55;22,01;6,43;Bok Choy;HYDROPONIC;4,906
5788,6;866,8;723,9;21,23;77,09;18,05;5,85;Lettuce;AEROPONIC;5,481
22039,1;750,0;1272,5;23,14;65,22;17,85;5,91;Lettuce;AEROPONIC;5,587
17110,0;814,7;1635,0;23,3;81,58;20,21;5,82;Spinach;AQUAPONIC;4,345
10189,5;897,7;1274,5;20,85;62,47;16,39;6,31;Spinach;AQUAPONIC;4,303
10159,0;693,4;1125,8;18,71;59,55;15,27;6,0;Kale;SOIL_BASED;4,298
17291,5;779,5;851,3;24,11;73,51;19,02;6,03;Kale;SOIL_BASED;4,162
17214,5;792,8;1131,4;27,33;86,11;23,79;6,36;Bok Choy;AEROPONIC;5,278
16020,8;577,1;983,0;26,19;54,21;21,64;6,61;Kale;HYDROPONIC;5,488
11183,6;467,0;1343,4;26,38;75,13;22,47;5,63;Lettuce;HYDROPONIC;5,623
15321,2;786,4;1365,4;21,26;72,76;17,77;5,99;Spinach;SOIL_BASED;3,335
12244,2;627,7;1033,3;24,1;67,72;21,1;6,87;Kale;AQUAPONIC;5,321
13543,1;1013,9;1195,2;19,51;85,62;14,55;6,39;Kale;AEROPONIC;6,572
11048,1;882,2;1656,0;23,97;51,74;19,37;5,79;Bok Choy;AEROPONIC;4,939
12127,7;631,2;1169,3;27,39;77,46;23,75;5,67;Bok Choy;HYDROPONIC;4,903
7136,1;519,1;1162,7;27,48;76,27;23,59;5,87;Lettuce;SOIL_BASED;4,186
19761,6;599,6;1328,5;29,19;78,18;26,05;5,65;Spinach;HYDROPONIC;4,758
11547,0;795,0;913,4;26,27;77,1;22,79;6,07;Bok Choy;HYDROPONIC;5,146
19301,4;736,1;1527,0;24,83;70,0;20,58;5,48;Kale;SOIL_BASED;4,281
12908,5;882,2;1172,6;25,95;65,41;22,65;6,05;Spinach;AQUAPONIC;4,596
12418,4;625,6;978,9;25,41;62,81;21,24;6,2;Spinach;AEROPONIC;4,736
7195,6;848,8;1419,7;21,24;73,0;16,5;5,42;Kale;AQUAPONIC;5,512
21169,0;827,1;1153,2;19,26;67,95;14,92;5,64;Bok Choy;SOIL_BASED;3,613
18172,9;962,6;1052,3;25,97;66,21;22,87;7,04;Kale;SOIL_BASED;4,404
11187,2;806,7;1298,9;29,36;63,29;25,18;6,27;Spinach;AEROPONIC;4,596
17720,0;653,7;1553,5;26,09;64,54;20,57;6,28;Chinese Cabbage;AQUAPONIC;3,98
18247,6;971,7;1173,2;18,21;74,6;12,85;5,91;Chinese Cabbage;AEROPONIC;4,54
15213,1;740,8;1029,1;22,05;68,16;18,09;6,11;Lettuce;HYDROPONIC;5,499
15107,4;720,2;696,1;22,95;78,28;19,14;6,51;Kale;HYDROPONIC;5,759
14455,6;797,5;903,0;18,3;56,5;13,47;5,67;Kale;HYDROPONIC;5,778
11759,9;954,9;1154,6;19,64;73,27;15,79;5,78;Lettuce;AQUAPONIC;5,074
13093,4;933,6;940,1;23,4;59,43;20,39;6,04;Lettuce;HYDROPONIC;5,771
11116,6;863,1;1098,3;24,23;78,28;19,64;5,79;Lettuce;AEROPONIC;5,867
18118,2;908,6;1781,3;20,74;78,51;17,2;5,76;Spinach;AQUAPONIC;4,398
20308,5;840,3;1600,1;19,52;56,01;15,67;7,04;Kale;AEROPONIC;6,116
15769,3;645,9;1067,3;26,84;61,49;22,63;6,47;Spinach;SOIL_BASED;3,484
12666,0;917,2;1315,9;22,43;61,86;18,72;6,12;Lettuce;AQUAPONIC;5,481
12939,9;422,2;999,1;22,83;78,73;18,06;6,32;Kale;AEROPONIC;6,294
15741,0;776,4;1686,1;21,97;62,95;17,21;5,5;Spinach;AEROPONIC;4,756
16456,2;786,7;1298,5;21,34;73,87;16,57;6,24;Spinach;AQUAPONIC;4,161
15008,2;1094,4;1553,1;27,15;62,38;21,92;5,71;Lettuce;SOIL_BASED;3,817
11980,8;638,7;1075,5;21,04;77,14;16,9;6,25;Kale;AQUAPONIC;5,282
18601,8;924,7;1696,3;24,0;77,98;20,41;5,7;Lettuce;HYDROPONIC;5,526
14940,6;811,2;1165,6;23,52;82,19;20,1;6,28;Kale;HYDROPONIC;6,109
16113,9;730,3;820,9;18,05;66,54;14,69;6,29;Chinese Cabbage;SOIL_BASED;2,965
7132,5;508,3;1234,9;24,17;68,02;21,15;6,07;Bok Choy;AEROPONIC;5,386
13737,6;810,8;1101,4;19,18;66,82;15,82;6,08;Bok Choy;AEROPONIC;4,851
16986,5;813,0;1541,3;25,28;68,22;20,66;6,49;Bok Choy;AEROPONIC;5,138
10176,2;743,1;1118,7;20,18;64,38;16,1;6,19;Lettuce;AQUAPONIC;5,143
8385,7;1018,4;1419,8;24,96;76,98;20,2;6,21;Chinese Cabbage;AQUAPONIC;4,001
18460,2;945,0;1102,6;22,3;61,53;19,22;6,06;Kale;SOIL_BASED;4,489
14940,4;755,1;1060,1;21,61;66,77;17,82;5,62;Spinach;HYDROPONIC;4,839
15202,8;940,6;1280,2;24,09;69,64;17,61;6,6;Kale;AEROPONIC;6,313
15907,3;969,0;1418,3;19,38;72,17;14,09;6,26;Spinach;HYDROPONIC;4,564
15405,6;684,9;874,3;23,31;57,88;17,21;5,86;Kale;AQUAPONIC;5,544
4080,3;630,9;1520,0;25,69;65,91;19,99;6,06;Chinese Cabbage;AQUAPONIC;3,845
13076,8;604,3;1523,6;26,42;68,19;22,28;6,12;Spinach;AQUAPONIC;4,207
13998,8;927,1;1200,8;22,2;74,82;17,8;5,49;Lettuce;HYDROPONIC;5,708
15065,3;730,9;1230,5;22,61;66,18;18,33;6,37;Kale;SOIL_BASED;4,31
14592,4;675,7;591,4;19,32;67,13;15,57;6,8;Kale;SOIL_BASED;4,018
12994,5;919,6;1748,7;21,4;69,17;15,92;6,33;Spinach;AQUAPONIC;4,33
17583,6;734,6;1196,4;19,13;76,92;14,05;5,6;Lettuce;AEROPONIC;5,678
13503,0;629,1;1561,8;24,73;50,56;19,54;5,61;Lettuce;HYDROPONIC;5,401
15146,6;997,1;1122,7;25,86;68,9;22,63;5,81;Chinese Cabbage;AQUAPONIC;4,055
20084,8;933,4;1280,8;22,23;77,94;18,62;6,59;Lettuce;HYDROPONIC;5,802
9465,5;687,5;1416,0;20,54;60,97;16,13;6,53;Lettuce;HYDROPONIC;5,621
6566,2;669,4;1160,7;24,36;61,6;21,12;5,47;Lettuce;SOIL_BASED;4,042
15700,0;754,5;873,0;21,07;78,41;16,89;6,02;Bok Choy;AQUAPONIC;4,558
16554,9;875,5;1247,3;25,38;65,03;22,24;5,89;Chinese Cabbage;SOIL_BASED;3,294
22120,8;945,1;912,3;28,92;65,28;25,73;5,95;Kale;AQUAPONIC;5,606
14612,6;623,2;1055,7;21,02;70,36;15,54;5,33;Spinach;HYDROPONIC;4,714
13883,5;544,1;1116,2;21,42;42,64;15,24;6,1;Kale;SOIL_BASED;3,924
